,webTitle,sectionname,publisheddate,weburl
0,Indian government accused of attack on democracy as 141 MPs suspended,World news,2023-12-19T16:29:06Z,https://www.theguardian.com/world/2023/dec/19/indian-government-accused-attack-democracy-mps-suspended-modi-bjp
1, Canada killing adds to suspicions of Indian crackdown on Sikh separatists,World news,2023-09-19T18:33:17Z,https://www.theguardian.com/world/2023/sep/19/canada-killing-adds-to-suspicions-of-indian-crackdown-on-sikh-separatists
2,Biden renews effort to woo India’s Modi in talks before G20 summit,US news,2023-09-08T18:48:58Z,https://www.theguardian.com/us-news/2023/sep/08/biden-renews-effort-to-woo-indias-modi-in-talks-before-g20-summit
3,Rahul Gandhi demands Modi investigation into Adani Group,World news,2023-08-31T17:58:12Z,https://www.theguardian.com/world/2023/aug/31/rahul-gandhi-demands-narendra-modi-investigation-adani-group
4,"‘Resistance is possible’: Ravish Kumar, the broadcaster risking his life to tell the truth about India​ today​",Media,2023-07-02T09:00:38Z,https://www.theguardian.com/media/2023/jul/02/journalist-ravish-kumar-india-while-we-watched-modi
5,Indian court halts airing of documentary on Muslim minority,World news,2023-06-16T10:22:11Z,https://www.theguardian.com/world/2023/jun/16/indian-court-halts-airing-of-documentary-on-muslim-minority
6,"The Guardian view on India at a crossroads: development, not dictatorship | Editorial",Opinion,2023-04-24T18:04:31Z,https://www.theguardian.com/commentisfree/2023/apr/24/the-guardian-view-on-india-at-a-crossroads-development-not-dictatorship
7,‘Bulldozer politics’: Modi’s demolition drive fuels Muslims’ fears in Kashmir,World news,2023-03-19T05:00:30Z,https://www.theguardian.com/world/2023/mar/19/bulldozer-politics-modi-demolition-drive-fuels-muslims-fears-in-kashmir
8,Tax raids at BBC offices in India enter second day,World news,2023-02-15T05:56:33Z,https://www.theguardian.com/world/2023/feb/15/tax-raids-at-bbc-offices-in-india-enter-second-day
9,India invokes emergency laws to ban BBC Modi documentary,World news,2023-01-23T07:59:55Z,https://www.theguardian.com/world/2023/jan/23/india-emergency-laws-to-ban-bbc-narendra-modi-documentary
10,"In Britain and India, we must resist the tragic thinking that pits Hindus against Muslims | Chetan Bhatt",Opinion,2022-10-11T13:28:19Z,https://www.theguardian.com/commentisfree/2022/oct/11/britain-india-hindus-muslims-leicester-bjp
